Example,Boeing Field Name,Shopify Field Name,Shopify View,Comments
"aviallPartNumber"": ""4811-160-3=EZ""",aviallPartNumber,Title,Product,
,aviallPartNumber,SKU,Product,
"            ""baseUOM"": ""EA""",BaseUOM,Unit of measure,Product Metafields,
"   ""countryOfOrigin"": ""United States""",CountryOfOrigin,Country/Region of origin,Product,
"   ""description"": """"",Description,NA,NA,
"            ""dim"": ""2.5 x 4 x 2""",Dim,"Length, Width, Height",Product > Package,
"            ""dimUOM"": ""IN""",DimUOM,UoM,Product > Package,
"            ""eccn"": ""9A991.d""",Eccn,NA,NA,
"            ""faaApprovalCode"": ""PMA""",FaaApprovalCode,NA,NA,
"            ""hazmatCode"": ""ZND""",HazmatCode,NA,NA,
"            ""inStock"": true",InStock,NA,NA,Do not display if inStock = False
"            ""listPrice"": 0",ListPrice,NA,NA,
"""locationAvailabilities"": [
                {
                    ""availQuantity"": 30,
                    ""location"": ""Dallas Central""
                },
                {
                    ""availQuantity"": 28,
                    ""location"": ""Miami, FL""
                }
            ],",AvailQuantity,On hand,Product,Applicable when inventory is available in multiple locations
,Location,Locations,Product,Applicable when inventory is available in multiple locations
"            ""name"": ""VENT,""",Name,Description,Product Metafields,This is a new field. It needs to be created and current entries from Vendor field need to move here.
"            ""netPrice"": 202.23",NetPrice,Cost per item,Product,Do not display if netPrice= 0
"""productImage"": ""https://www.aviall.com/content-images/4811-160-3=E9_280.JPG""",ProductImage,Media,Product,
"            ""quantity"": 1",Quantity,NA,NA,This is a repetition of availQuantity for single location.
"            ""scheduleBCode"": ""8481809025""",ScheduleBCode,NA,NA,
"            ""supplierName"": ""Monogram Systems""",SupplierName,Manufacturer,Product,
"thumbnailImage: ""https://www.aviall.com/content-images/4811-160-3=E9_280.JPG""",ThumbnailImage,NA,NA,
"           ""weight"": "".6""",Weight,Product Weight,Product,
"            ""weightUOM"": ""LB""",WeightUOM,Product Weight UOM,Product,
NA,NA,Cert,FAA 8130-3,Cert = FAA 8130-3 for all Boeing parts
NA,NA,Vendor,Product,Vendor = BDI or BDSI
